sample_id,side_or_trapnum,watershed,date,dipteran_large,terrestrial_large,caddisfly_large,mayfly_large,stonefly_large,other_large,dipteran_small,terrestrial_small,caddisfly_small,other_small,dup
ST190254,A,2,2019-05-13,2,2,NA,NA,NA,NA,63,3,NA,2,0
ST190254,B,2,2019-05-13,NA,NA,NA,NA,NA,NA,24,NA,NA,3,0
ST190255,A,2,2019-05-13,4,NA,NA,NA,NA,NA,25,1,NA,2,0
ST190255,B,2,2019-05-13,4,NA,NA,NA,NA,NA,58,NA,NA,5,0
ST190286,A,2,2019-05-20,1,1,NA,NA,NA,NA,57,NA,NA,3,0
ST190286,B,2,2019-05-20,1,NA,NA,NA,NA,NA,155,2,NA,7,0
ST190287,A,2,2019-05-20,3,2,NA,NA,NA,NA,77,NA,NA,4,0
ST190287,B,2,2019-05-20,7,1,NA,NA,NA,2,99,NA,NA,4,0
ST190288,A,2,2019-05-20,3,1,NA,NA,1,2,162,NA,NA,6,0
ST190288,B,2,2019-05-20,3,1,NA,NA,1,2,145,NA,NA,4,0
ST190289,A,2,2019-05-20,2,NA,1,NA,1,1,127,NA,NA,4,0
ST190289,B,2,2019-05-20,3,NA,NA,NA,2,NA,116,NA,NA,5,0
ST190290,A,2,2019-05-20,15,1,NA,NA,NA,1,153,NA,NA,11,0
ST190290,B,2,2019-05-20,5,2,NA,NA,NA,NA,132,1,NA,9,0
ST190291,B,2,2019-05-20,5,NA,NA,NA,NA,1,162,NA,NA,6,0
ST190292,A,2,2019-05-20,1,1,NA,NA,NA,3,119,NA,NA,11,0
ST190292,B,2,2019-05-20,2,NA,NA,NA,1,NA,90,3,NA,7,0
ST190293,A,2,2019-05-20,7,NA,NA,NA,NA,1,110,8,NA,5,0
ST190293,B,2,2019-05-20,12,NA,NA,NA,NA,3,219,11,NA,13,0
ST190294,A,2,2019-05-20,2,1,NA,NA,NA,1,143,4,NA,10,0
ST190294,B,2,2019-05-20,4,2,NA,NA,NA,2,92,5,NA,8,0
ST190295,A,2,2019-05-20,6,1,NA,NA,NA,2,116,3,NA,11,0
ST190295,B,2,2019-05-20,12,1,NA,NA,NA,4,158,7,NA,4,0
ST190331,A,2,2019-05-20,2,NA,NA,NA,1,3,134,13,NA,8,0
ST190331,B,2,2019-05-20,7,2,NA,NA,1,NA,194,5,NA,11,0
ST190332,A,2,2019-05-20,2,1,NA,1,NA,2,293,11,NA,13,0
ST190332,B,2,2019-05-20,4,1,NA,NA,2,2,76,NA,NA,2,0
ST190333,A,2,2019-05-20,5,NA,1,NA,NA,1,329,NA,NA,11,0
ST190333,B,2,2019-05-20,12,NA,NA,NA,NA,6,221,5,NA,9,0
ST190334,A,2,2019-05-20,19,4,NA,NA,NA,4,263,11,NA,4,0
ST190334,B,2,2019-05-20,10,7,NA,NA,NA,NA,149,2,NA,5,0
ST190335,A,2,2019-05-20,5,NA,NA,NA,1,1,192,12,NA,NA,0
ST190335,B,2,2019-05-20,13,1,NA,NA,NA,7,186,9,NA,7,0
ST190326,A,2,2019-05-28,3,4,NA,NA,3,2,138,NA,NA,12,0
ST190326,B,2,2019-05-28,6,NA,NA,NA,2,2,172,NA,NA,8,0
ST190327,A,2,2019-05-28,8,1,NA,NA,1,NA,181,NA,NA,14,0
ST190327,B,2,2019-05-28,11,NA,NA,NA,2,1,165,NA,NA,11,0
ST190328,A,2,2019-05-28,47,NA,NA,NA,NA,1,63,NA,NA,NA,0
ST190328,B,2,2019-05-28,NA,NA,NA,NA,NA,NA,32,NA,NA,2,0
ST190329,A,2,2019-05-28,4,NA,NA,NA,NA,1,151,NA,NA,9,0
ST190329,B,2,2019-05-28,12,NA,NA,NA,3,1,129,NA,NA,9,0
ST190330,A,2,2019-05-28,4,NA,NA,NA,NA,2,60,NA,NA,4,0
ST190330,B,2,2019-05-28,12,2,NA,NA,NA,2,180,NA,NA,15,0
ST190366,A,2,2019-06-02,5,2,NA,NA,NA,NA,50,1,NA,NA,0
ST190366,B,2,2019-06-02,1,2,NA,NA,1,2,96,NA,NA,5,0
ST190367,A,2,2019-06-02,8,NA,NA,NA,1,NA,87,NA,NA,4,0
ST190367,B,2,2019-06-02,1,1,NA,NA,NA,NA,61,NA,NA,1,0
ST190368,A,2,2019-06-02,1,2,NA,NA,NA,NA,54,NA,NA,NA,0
ST190368,B,2,2019-06-02,2,NA,NA,NA,2,NA,60,NA,NA,2,0
ST190369,A,2,2019-06-02,NA,NA,NA,NA,2,2,58,NA,NA,2,0
ST190369,B,2,2019-06-02,3,NA,NA,NA,5,NA,82,NA,NA,NA,0
ST190370,A,2,2019-06-02,4,1,NA,NA,2,1,75,1,NA,1,0
ST190370,B,2,2019-06-02,3,NA,NA,NA,NA,NA,77,NA,NA,1,0
ST190371,A,2,2019-06-02,6,1,NA,NA,1,2,71,NA,NA,5,0
ST190371,B,2,2019-06-02,NA,NA,NA,NA,NA,2,64,NA,NA,4,0
ST190372,A,2,2019-06-02,12,4,NA,NA,NA,3,82,1,NA,2,0
ST190372,B,2,2019-06-02,7,4,NA,NA,NA,NA,55,NA,NA,1,0
ST190373,A,2,2019-06-02,3,1,NA,NA,NA,NA,65,NA,NA,4,0
ST190373,B,2,2019-06-02,4,4,NA,NA,NA,1,91,NA,NA,1,0
ST190374,A,2,2019-06-02,4,NA,1,NA,NA,NA,72,NA,NA,NA,0
ST190374,B,2,2019-06-02,6,1,NA,NA,NA,NA,61,NA,NA,NA,0
ST190375,A,2,2019-06-02,16,2,NA,NA,NA,NA,59,NA,NA,4,0
ST190375,B,2,2019-06-02,18,NA,NA,NA,NA,NA,78,NA,NA,1,0
ST190406,A,2,2019-06-10,NA,13,NA,NA,2,1,101,NA,NA,5,0
ST190406,B,2,2019-06-10,3,7,2,NA,2,2,161,1,NA,3,0
ST190407,A,2,2019-06-10,5,7,1,NA,2,3,89,1,NA,1,0
ST190407,B,2,2019-06-10,3,1,NA,NA,NA,1,62,NA,NA,5,0
ST190408,A,2,2019-06-10,NA,1,1,NA,NA,2,45,NA,NA,1,0
ST190408,B,2,2019-06-10,NA,5,2,NA,5,2,141,NA,NA,NA,0
ST190409,A,2,2019-06-10,1,4,1,1,1,1,175,NA,NA,4,0
ST190409,B,2,2019-06-10,4,3,NA,NA,NA,3,97,NA,NA,3,0
ST190410,A,2,2019-06-10,3,11,NA,NA,1,1,91,2,NA,4,0
ST190410,B,2,2019-06-10,5,5,1,NA,1,1,132,NA,NA,3,0
ST190411,A,2,2019-06-10,15,15,5,1,2,5,178,2,NA,14,0
ST190411,B,2,2019-06-10,15,14,1,NA,1,9,105,NA,NA,1,0
ST190412,A,2,2019-06-10,18,8,1,NA,1,21,213,NA,NA,5,0
ST190412,B,2,2019-06-10,7,11,NA,NA,2,17,242,NA,NA,4,0
ST190413,A,2,2019-06-10,10,10,3,NA,1,6,298,NA,NA,9,0
ST190413,B,2,2019-06-10,10,18,5,NA,5,7,139,NA,NA,9,0
ST190414,A,2,2019-06-10,8,19,2,NA,1,9,230,NA,NA,5,0
ST190414,B,2,2019-06-10,5,9,2,NA,1,7,216,NA,NA,21,0
ST190415,A,2,2019-06-10,1,8,2,NA,1,5,239,NA,NA,10,0
ST190415,B,2,2019-06-10,3,14,3,NA,1,6,204,NA,NA,NA,0
ST190446,A,2,2019-06-17,5,4,NA,NA,1,NA,31,2,NA,NA,0
ST190446,B,2,2019-06-17,NA,NA,NA,NA,2,NA,35,5,NA,1,0
ST190447,A,2,2019-06-17,2,NA,NA,NA,1,1,29,5,NA,1,0
ST190447,B,2,2019-06-17,5,1,NA,NA,NA,1,36,1,NA,1,0
ST190448,A,2,2019-06-17,2,NA,NA,NA,NA,NA,40,4,NA,1,0
ST190448,B,2,2019-06-17,5,2,NA,NA,1,1,46,1,NA,2,0
ST190449,A,2,2019-06-17,NA,NA,NA,NA,NA,NA,35,6,NA,1,0
ST190449,B,2,2019-06-17,6,4,NA,NA,NA,1,35,7,NA,NA,0
ST190450,A,2,2019-06-17,2,NA,NA,NA,NA,1,42,5,NA,NA,0
ST190450,B,2,2019-06-17,3,3,NA,NA,NA,1,44,4,NA,NA,0
ST190486,A,2,2019-06-24,1,2,NA,1,NA,1,94,9,NA,NA,0
ST190486,B,2,2019-06-24,1,NA,NA,NA,NA,NA,14,1,NA,1,0
ST190487,A,2,2019-06-24,5,1,1,NA,NA,3,69,1,NA,NA,0
ST190487,B,2,2019-06-24,1,1,1,NA,1,NA,39,5,NA,1,0
ST190488,A,2,2019-06-24,1,NA,4,NA,NA,4,94,7,NA,NA,0
ST190488,B,2,2019-06-24,2,NA,2,NA,1,1,71,6,NA,NA,0
ST190489,A,2,2019-06-24,4,1,NA,NA,NA,4,75,4,NA,NA,0
ST190489,B,2,2019-06-24,NA,NA,4,NA,NA,1,109,NA,NA,NA,0
ST190490,A,2,2019-06-24,5,NA,1,NA,1,2,55,8,NA,1,0
ST190490,B,2,2019-06-24,1,1,2,NA,NA,1,43,5,NA,NA,0
ST190526,A,2,2019-07-01,NA,2,NA,NA,3,5,70,NA,NA,1,0
ST190526,B,2,2019-07-01,NA,3,NA,NA,2,3,53,6,NA,4,0
ST190527,A,2,2019-07-01,NA,NA,1,NA,NA,1,90,9,NA,NA,0
ST190527,B,2,2019-07-01,1,4,NA,NA,NA,2,37,1,NA,1,0
ST190528,A,2,2019-07-01,1,NA,NA,NA,NA,NA,18,1,NA,3,0
ST190528,B,2,2019-07-01,4,4,NA,NA,NA,2,43,3,NA,NA,0
ST190529,A,2,2019-07-01,3,1,NA,NA,1,5,77,10,NA,NA,0
ST190529,B,2,2019-07-01,3,NA,NA,NA,1,6,64,7,NA,NA,0
ST190530,A,2,2019-07-01,NA,2,NA,NA,3,4,58,9,NA,3,0
ST190530,B,2,2019-07-01,NA,NA,2,NA,1,2,27,5,NA,1,0
ST190566,A,2,2019-07-08,NA,NA,NA,NA,NA,NA,23,1,NA,1,0
ST190566,B,2,2019-07-08,4,NA,NA,NA,1,1,51,7,NA,4,0
ST190567,A,2,2019-07-08,NA,NA,NA,NA,1,1,44,3,NA,10,0
ST190567,B,2,2019-07-08,NA,1,NA,NA,NA,2,61,7,NA,11,0
ST190568,A,2,2019-07-08,3,1,1,NA,NA,1,51,24,NA,17,0
ST190568,B,2,2019-07-08,NA,NA,NA,NA,NA,1,25,6,NA,7,0
ST190569,A,2,2019-07-08,1,2,2,NA,NA,8,56,7,1,20,0
ST190569,B,2,2019-07-08,NA,3,NA,NA,3,NA,50,1,NA,16,0
ST190570,A,2,2019-07-08,1,NA,1,NA,3,3,22,1,NA,17,0
ST190570,B,2,2019-07-08,2,4,NA,NA,NA,5,51,3,NA,18,0
ST190606,A,2,2019-07-15,1,1,1,NA,NA,NA,35,8,NA,44,0
ST190606,B,2,2019-07-15,NA,1,1,NA,1,4,16,4,NA,31,0
ST190607,A,2,2019-07-15,12,1,NA,NA,NA,NA,30,9,NA,18,0
ST190607,B,2,2019-07-15,3,NA,NA,NA,NA,1,23,8,NA,10,0
ST190608,A,2,2019-07-15,1,1,1,NA,NA,2,15,NA,1,5,0
ST190608,B,2,2019-07-15,12,NA,1,NA,NA,1,28,7,NA,18,0
ST190609,A,2,2019-07-15,NA,NA,NA,NA,NA,1,34,7,NA,7,0
ST190609,B,2,2019-07-15,5,NA,NA,NA,NA,3,35,6,NA,12,0
ST190610,A,2,2019-07-15,3,NA,NA,NA,2,NA,33,9,1,17,0
ST190610,B,2,2019-07-15,1,2,NA,NA,4,6,16,10,NA,28,0
ST190646,A,2,2019-07-22,4,1,NA,NA,NA,2,9,3,1,3,0
ST190646,B,2,2019-07-22,7,NA,1,NA,1,2,26,15,1,7,0
ST190647,A,2,2019-07-22,2,NA,NA,NA,NA,3,16,12,1,3,0
ST190647,B,2,2019-07-22,1,NA,NA,NA,NA,2,30,1,NA,5,0
ST190648,A,2,2019-07-22,6,2,NA,NA,NA,2,19,8,NA,4,0
ST190648,B,2,2019-07-22,1,NA,NA,NA,2,3,17,4,NA,11,0
ST190649,A,2,2019-07-22,3,NA,NA,NA,1,NA,13,4,1,13,0
ST190649,B,2,2019-07-22,5,NA,NA,NA,NA,4,32,3,1,11,0
ST190650,A,2,2019-07-22,5,1,NA,NA,NA,1,7,7,NA,2,0
ST190650,B,2,2019-07-22,NA,3,1,NA,1,1,24,7,NA,6,0
ST190686,A,2,2019-07-29,5,1,NA,NA,NA,1,15,20,NA,1,0
ST190686,B,2,2019-07-29,7,NA,1,NA,NA,NA,17,14,1,2,0
ST190687,A,2,2019-07-29,2,NA,NA,NA,NA,NA,23,5,NA,2,0
ST190687,B,2,2019-07-29,5,1,NA,NA,NA,1,40,5,NA,NA,0
ST190688,A,2,2019-07-29,6,2,1,NA,NA,NA,10,4,NA,4,0
ST190688,B,2,2019-07-29,4,1,NA,NA,NA,1,21,10,NA,NA,0
ST190689,A,2,2019-07-29,3,2,NA,NA,NA,1,5,5,NA,5,0
ST190689,B,2,2019-07-29,5,2,NA,NA,1,NA,21,10,NA,NA,0
ST190690,A,2,2019-07-29,1,NA,NA,NA,NA,NA,9,2,1,1,0
ST190690,B,2,2019-07-29,1,NA,NA,NA,NA,NA,10,5,NA,NA,0
ST190726,A,2,2019-08-05,NA,2,NA,NA,NA,1,12,8,NA,NA,0
ST190726,B,2,2019-08-05,6,NA,NA,NA,NA,NA,25,7,NA,1,0
ST190727,A,2,2019-08-05,NA,NA,1,NA,1,NA,12,5,NA,2,0
ST190727,B,2,2019-08-05,NA,2,NA,NA,NA,1,13,3,NA,4,0
ST190728,A,2,2019-08-05,2,NA,NA,NA,2,1,13,4,NA,NA,0
ST190728,B,2,2019-08-05,2,1,NA,NA,1,1,5,48,NA,NA,0
ST190729,A,2,2019-08-05,3,4,NA,NA,NA,NA,17,6,NA,NA,0
ST190729,B,2,2019-08-05,NA,2,NA,NA,NA,1,21,3,NA,1,0
ST190730,A,2,2019-08-05,NA,3,NA,NA,NA,1,30,6,NA,1,0
ST190730,B,2,2019-08-05,NA,NA,NA,NA,NA,3,22,2,NA,1,0
ST190766,A,2,2019-08-12,NA,NA,NA,NA,2,NA,16,1,NA,1,0
ST190766,B,2,2019-08-12,1,5,NA,NA,3,1,16,14,NA,1,0
ST190767,A,2,2019-08-12,NA,5,1,NA,NA,1,16,2,NA,NA,0
ST190767,B,2,2019-08-12,NA,3,2,NA,NA,2,6,2,NA,1,0
ST190768,A,2,2019-08-12,NA,NA,1,NA,NA,NA,17,1,NA,1,0
ST190768,B,2,2019-08-12,3,3,NA,NA,NA,5,15,NA,NA,2,0
ST190769,A,2,2019-08-12,4,2,NA,NA,NA,2,25,3,NA,2,0
ST190769,B,2,2019-08-12,NA,4,1,NA,1,1,15,3,NA,2,0
ST190770,A,2,2019-08-12,1,1,NA,NA,NA,2,17,3,NA,1,0
ST190770,B,2,2019-08-12,NA,3,NA,NA,NA,NA,21,14,NA,2,0
ST190806,A,2,2019-08-19,NA,NA,NA,NA,NA,1,31,5,1,1,0
ST190806,B,2,2019-08-19,1,4,NA,NA,NA,NA,7,8,NA,NA,0
ST190807,A,2,2019-08-19,NA,4,NA,NA,NA,NA,17,3,NA,NA,0
ST190807,B,2,2019-08-19,NA,3,1,NA,NA,NA,13,3,NA,NA,0
ST190808,A,2,2019-08-19,1,5,1,NA,1,1,13,6,NA,2,0
ST190808,B,2,2019-08-19,NA,1,NA,NA,NA,NA,7,NA,NA,NA,0
ST190809,A,2,2019-08-19,NA,NA,NA,NA,NA,1,13,1,NA,2,0
ST190809,B,2,2019-08-19,1,5,NA,NA,NA,3,19,1,NA,1,0
ST190810,A,2,2019-08-19,NA,2,4,NA,NA,NA,24,5,NA,1,0
ST190810,B,2,2019-08-19,1,3,3,NA,NA,NA,6,2,NA,1,0
ST190846,A,2,2019-08-26,1,1,NA,NA,NA,2,13,4,1,NA,0
ST190846,B,2,2019-08-26,NA,3,NA,NA,NA,NA,10,2,NA,NA,0
ST190847,A,2,2019-08-26,NA,1,NA,NA,2,NA,16,4,NA,NA,0
ST190847,B,2,2019-08-26,2,1,NA,NA,NA,2,22,4,NA,NA,0
ST190848,A,2,2019-08-26,NA,1,NA,NA,NA,1,6,4,NA,NA,0
ST190848,B,2,2019-08-26,NA,1,NA,NA,NA,NA,29,2,NA,NA,0
ST190849,A,2,2019-08-26,NA,4,NA,NA,NA,NA,8,3,NA,NA,0
ST190849,B,2,2019-08-26,NA,2,NA,NA,NA,1,15,NA,NA,NA,0
ST190850,A,2,2019-08-26,NA,NA,1,NA,NA,2,20,1,NA,NA,0
ST190850,B,2,2019-08-26,NA,3,1,NA,NA,NA,12,1,NA,1,0
ST191326,B,2,2019-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST191366,B,2,2019-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190206,A,2,2020-05-06,1,NA,NA,NA,NA,1,9,NA,NA,NA,0
ST190206,B,2,2020-05-06,7,4,NA,NA,NA,NA,13,NA,NA,4,0
ST190207,A,2,2020-05-06,14,NA,NA,NA,NA,NA,17,NA,NA,3,0
ST190207,B,2,2020-05-06,15,NA,NA,NA,NA,NA,25,1,NA,NA,0
ST190208,A,2,2020-05-06,1,2,NA,NA,NA,1,5,1,NA,3,0
ST190208,B,2,2020-05-06,2,3,NA,NA,NA,NA,14,NA,NA,1,0
ST190209,A,2,2020-05-06,6,NA,NA,NA,NA,NA,13,NA,NA,1,0
ST190209,B,2,2020-05-06,1,1,NA,NA,NA,NA,12,NA,NA,NA,0
ST190210,A,2,2020-05-06,2,NA,NA,NA,NA,NA,6,NA,NA,1,0
ST190210,B,2,2020-05-06,4,1,NA,NA,1,NA,15,NA,NA,3,0
ST190291,A,2,2020-05-20,4,1,NA,NA,NA,1,158,NA,NA,7,0
ST201566,A,2,2020-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,1,3,2018-05-14,3,1,NA,NA,NA,1,90,NA,NA,5,0
NA,10,3,2018-05-14,NA,NA,NA,NA,NA,2,135,NA,NA,6,0
NA,2,3,2018-05-14,NA,1,NA,NA,NA,NA,53,NA,NA,2,0
NA,3,3,2018-05-14,NA,1,NA,NA,NA,3,82,NA,NA,1,0
NA,4,3,2018-05-14,1,NA,NA,NA,NA,2,24,NA,NA,5,0
NA,5,3,2018-05-14,NA,NA,NA,NA,NA,NA,9,NA,NA,1,0
NA,6,3,2018-05-14,NA,5,NA,NA,NA,2,20,NA,NA,1,0
NA,7,3,2018-05-14,NA,NA,NA,NA,NA,NA,6,NA,NA,2,0
NA,8,3,2018-05-14,5,7,NA,NA,NA,NA,127,NA,NA,10,0
NA,9,3,2018-05-14,NA,2,NA,NA,NA,NA,50,NA,NA,6,0
NA,1,3,2018-05-21,2,NA,NA,NA,NA,3,96,NA,NA,NA,0
NA,10,3,2018-05-21,1,NA,NA,NA,NA,3,58,NA,NA,11,0
NA,2,3,2018-05-21,5,NA,NA,NA,NA,1,39,NA,NA,3,0
NA,3,3,2018-05-21,2,NA,NA,NA,1,NA,16,NA,NA,2,0
NA,4,3,2018-05-21,4,NA,NA,NA,NA,1,33,NA,NA,2,0
NA,5,3,2018-05-21,2,NA,NA,NA,NA,3,46,NA,NA,6,0
NA,6,3,2018-05-21,7,NA,NA,NA,NA,5,56,NA,NA,5,0
NA,7,3,2018-05-21,NA,NA,NA,NA,NA,5,57,4,NA,11,0
NA,8,3,2018-05-21,NA,NA,NA,NA,2,NA,54,5,NA,9,0
NA,9,3,2018-05-21,NA,NA,NA,NA,NA,1,39,NA,NA,9,0
NA,1,3,2018-05-29,NA,NA,NA,NA,NA,9,100,2,NA,9,0
NA,10,3,2018-05-29,2,NA,NA,NA,1,4,112,NA,NA,22,0
NA,2,3,2018-05-29,NA,2,NA,NA,3,3,106,NA,NA,5,0
NA,3,3,2018-05-29,2,NA,NA,NA,2,7,75,NA,NA,9,0
NA,4,3,2018-05-29,NA,NA,NA,NA,NA,10,209,NA,NA,6,0
NA,5,3,2018-05-29,NA,2,NA,NA,1,10,49,3,NA,NA,0
NA,6,3,2018-05-29,1,1,NA,NA,NA,10,80,3,NA,5,0
NA,7,3,2018-05-29,2,NA,2,NA,4,2,182,NA,NA,6,0
NA,8,3,2018-05-29,1,3,NA,NA,1,9,97,NA,NA,NA,0
NA,9,3,2018-05-29,NA,1,NA,NA,NA,5,49,NA,NA,7,0
NA,1,3,2018-07-02,5,NA,8,NA,NA,3,37,NA,NA,7,0
NA,10,3,2018-07-02,4,NA,2,NA,5,1,52,NA,NA,20,0
NA,2,3,2018-07-02,NA,NA,1,NA,1,NA,35,1,NA,3,0
NA,3,3,2018-07-02,4,1,1,NA,2,2,49,NA,NA,6,0
NA,4,3,2018-07-02,1,NA,3,1,NA,2,45,NA,NA,12,0
NA,5,3,2018-07-02,2,NA,NA,NA,NA,5,34,NA,NA,14,0
NA,6,3,2018-07-02,NA,NA,NA,NA,NA,NA,60,NA,NA,21,0
NA,7,3,2018-07-02,4,3,NA,NA,NA,3,47,NA,NA,22,0
NA,8,3,2018-07-02,NA,NA,1,NA,NA,2,35,NA,NA,9,0
NA,9,3,2018-07-02,2,NA,NA,NA,NA,3,25,NA,NA,12,0
NA,1,3,2018-07-09,1,NA,2,NA,NA,3,24,1,NA,15,0
NA,10,3,2018-07-09,5,2,7,NA,NA,9,33,1,NA,16,0
NA,2,3,2018-07-09,4,NA,NA,NA,3,3,33,NA,NA,17,0
NA,3,3,2018-07-09,NA,NA,NA,NA,1,5,46,NA,NA,13,0
NA,4,3,2018-07-09,2,2,NA,NA,NA,7,70,NA,NA,NA,0
NA,5,3,2018-07-09,1,1,NA,NA,NA,7,33,NA,NA,20,0
NA,6,3,2018-07-09,3,3,1,NA,1,4,31,NA,NA,25,0
NA,7,3,2018-07-09,NA,NA,4,NA,NA,3,36,2,NA,10,0
NA,8,3,2018-07-09,NA,1,6,NA,2,5,36,NA,NA,36,0
NA,9,3,2018-07-09,3,NA,6,NA,3,5,34,NA,NA,4,0
NA,1,3,2018-07-16,4,NA,1,NA,NA,2,28,1,NA,8,0
NA,10,3,2018-07-16,9,NA,2,NA,2,4,25,NA,NA,19,0
NA,2,3,2018-07-16,2,2,NA,NA,NA,3,41,NA,NA,22,0
NA,3,3,2018-07-16,3,1,NA,NA,1,1,30,NA,NA,20,0
NA,4,3,2018-07-16,2,2,5,NA,1,3,39,NA,NA,15,0
NA,5,3,2018-07-16,1,NA,3,NA,1,3,22,1,NA,16,0
NA,6,3,2018-07-16,5,4,NA,NA,NA,2,26,NA,NA,34,0
NA,7,3,2018-07-16,1,NA,NA,NA,1,7,42,NA,NA,21,0
NA,8,3,2018-07-16,NA,NA,1,NA,NA,4,30,NA,NA,25,0
NA,9,3,2018-07-16,5,NA,NA,NA,NA,3,16,NA,NA,11,0
NA,1,3,2018-07-23,1,NA,NA,NA,NA,NA,4,NA,NA,12,0
NA,10,3,2018-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,2,3,2018-07-23,NA,NA,NA,NA,NA,NA,3,NA,NA,9,0
NA,3,3,2018-07-23,4,NA,NA,NA,NA,1,NA,NA,NA,5,0
NA,4,3,2018-07-23,NA,NA,NA,NA,NA,NA,5,NA,NA,9,0
NA,5,3,2018-07-23,2,NA,NA,NA,NA,1,7,NA,NA,16,0
NA,6,3,2018-07-23,4,NA,NA,NA,NA,NA,NA,NA,NA,8,0
NA,7,3,2018-07-23,NA,NA,NA,NA,NA,2,7,NA,NA,24,0
NA,8,3,2018-07-23,2,NA,NA,NA,NA,3,9,NA,NA,11,0
NA,9,3,2018-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,1,3,2018-07-30,5,NA,NA,NA,NA,2,15,NA,NA,2,0
NA,10,3,2018-07-30,NA,NA,2,NA,5,1,8,NA,NA,NA,0
NA,2,3,2018-07-30,4,NA,NA,NA,NA,4,23,NA,NA,2,0
NA,3,3,2018-07-30,5,NA,1,NA,1,3,15,NA,NA,NA,0
NA,4,3,2018-07-30,3,2,NA,NA,2,NA,11,NA,NA,1,0
NA,5,3,2018-07-30,5,NA,NA,NA,1,NA,12,NA,NA,1,0
NA,6,3,2018-07-30,NA,NA,1,NA,2,1,12,NA,NA,1,0
NA,7,3,2018-07-30,4,NA,NA,NA,NA,NA,18,NA,NA,5,0
NA,8,3,2018-07-30,NA,1,NA,NA,NA,1,24,NA,NA,4,0
NA,9,3,2018-07-30,1,NA,1,NA,3,2,6,NA,NA,4,0
NA,1,3,2018-08-06,NA,NA,1,NA,6,1,12,NA,NA,2,0
NA,10,3,2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,2,3,2018-08-06,NA,NA,1,NA,4,NA,9,NA,NA,2,0
NA,3,3,2018-08-06,NA,NA,NA,NA,8,3,17,NA,NA,NA,0
NA,4,3,2018-08-06,NA,NA,NA,NA,5,1,8,NA,NA,1,0
NA,5,3,2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,6,3,2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,7,3,2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,8,3,2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,9,3,2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,1,3,2018-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,10,3,2018-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,2,3,2018-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,3,3,2018-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,4,3,2018-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,5,3,2018-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,6,3,2018-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,7,3,2018-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,8,3,2018-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,9,3,2018-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,1,3,2018-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,10,3,2018-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,2,3,2018-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,3,3,2018-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,4,3,2018-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,5,3,2018-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,6,3,2018-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,7,3,2018-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,8,3,2018-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,9,3,2018-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,1,3,2018-08-27,2,1,NA,NA,1,NA,11,NA,NA,3,0
NA,10,3,2018-08-27,3,NA,1,NA,1,1,16,NA,NA,1,0
NA,2,3,2018-08-27,1,NA,NA,NA,1,NA,9,NA,NA,5,0
NA,3,3,2018-08-27,3,NA,NA,NA,1,1,19,1,NA,6,0
NA,4,3,2018-08-27,2,NA,NA,NA,2,1,18,NA,NA,2,0
NA,5,3,2018-08-27,NA,2,NA,NA,1,1,10,2,NA,2,0
NA,6,3,2018-08-27,NA,NA,NA,NA,1,1,21,2,NA,NA,0
